"Kala Inggris Bersiap Hadapi Panas Ekstrem, Prancis Hingga Spanyol Berjuang Melawan Kebakaran Hutan #Internasional https://t.co/7PevEjK1w4 https://t.co/v0wL35MoJ4",1
"@moviemenfes Beda tempat dan beda cerita, tapi ada scene di mana nanti mereka ketemu buat madamin kebakaran hutan.",1
"BUMI KIAN PANAS?

Kalau korang selalu ikuti siaran berita dunia, mesti perasan kan setiap hari ada sahaja berlaku kebakaran hutan secara semulajadi,

Kelmarin dilaporkan di US, hari ini pula di China, dan ini disebabkan satu alasan sahaja, iaitu kepanasan yang melampau, https://t.co/AtNSkDoO3a",1
Kebakaran Hutan di Barat Daya Prancis Meluas Hampir Capai 10.000 Hektare https://t.co/1vAbMD2JkU,1
"Halo #SobatBMKG 🤗 

Malam Minggu daripada sibuk nunggu dia yg nggak pasti, mending yuk simak info ikhtisar cuaca untuk 16-18 Juli 2022.Terpantau ada potensi kebakaran hutan di wilayah NTT nih 😱. 

Nah jd harus tetap waspada ya Sobat. Happy weekend! 😎🤟 

#IkhtisarCuaca
#BMKG https://t.co/uf3PrhEyOL",1
"BUMI KIAN PANAS?

Kalau korang selalu ikuti siaran berita dunia, mesti perasan kan setiap hari ada sahaja berlaku kebakaran hutan secara semulajadi,

Kelmarin dilaporkan di US, hari ini pula di China, dan ini disebabkan satu alasan sahaja, iaitu kepanasan yang melampau, https://t.co/AtNSkDoO3a",1
"Gelombang Panas Landa Eropa, Ribuan Dievakuasi Dari Kebakaran Hutan dan Lahan https://t.co/kQ3pCm41wG",1
"Halo #SobatBMKG 🤗 

Malam Minggu daripada sibuk nunggu dia yg nggak pasti, mending yuk simak info ikhtisar cuaca untuk 16-18 Juli 2022.Terpantau ada potensi kebakaran hutan di wilayah NTT nih 😱. 

Nah jd harus tetap waspada ya Sobat. Happy weekend! 😎🤟 

#IkhtisarCuaca
#BMKG https://t.co/uf3PrhEyOL",1
"KLHK melalui Direktorat Pengendalian Kebakaran Hutan dan Lahan, Ditjen Pengendalian Perubahan Iklim (PPI) bersama-sama dengan Manggala Agni Daops Kalimantan XII-Paser, Balai PPIKHL Wilayah Kalimantan melaksanakan kegiatan penguatan MPA di wilayah Ibu Kota Nusantara (IKN) https://t.co/s0o8nIswdy",1
"BUMI KIAN PANAS?

Kalau korang selalu ikuti siaran berita dunia, mesti perasan kan setiap hari ada sahaja berlaku kebakaran hutan secara semulajadi,

Kelmarin dilaporkan di US, hari ini pula di China, dan ini disebabkan satu alasan sahaja, iaitu kepanasan yang melampau, https://t.co/AtNSkDoO3a",1
"Halo #SobatBMKG 🤗 

Malam Minggu daripada sibuk nunggu dia yg nggak pasti, mending yuk simak info ikhtisar cuaca untuk 16-18 Juli 2022.Terpantau ada potensi kebakaran hutan di wilayah NTT nih 😱. 

Nah jd harus tetap waspada ya Sobat. Happy weekend! 😎🤟 

#IkhtisarCuaca
#BMKG https://t.co/uf3PrhEyOL",1
"Halo #SobatBMKG 🤗 

Malam Minggu daripada sibuk nunggu dia yg nggak pasti, mending yuk simak info ikhtisar cuaca untuk 16-18 Juli 2022.Terpantau ada potensi kebakaran hutan di wilayah NTT nih 😱. 

Nah jd harus tetap waspada ya Sobat. Happy weekend! 😎🤟 

#IkhtisarCuaca
#BMKG https://t.co/uf3PrhEyOL",1
"BUMI KIAN PANAS?

Kalau korang selalu ikuti siaran berita dunia, mesti perasan kan setiap hari ada sahaja berlaku kebakaran hutan secara semulajadi,

Kelmarin dilaporkan di US, hari ini pula di China, dan ini disebabkan satu alasan sahaja, iaitu kepanasan yang melampau, https://t.co/AtNSkDoO3a",1
"Kebakaran Hutan Meluas di Barat Daya Prancis, 10.000 Hektare Terbakar https://t.co/CNMdKpWrNC",1
"Kebakaran Hutan Makin Meluas di Barat Daya Prancis, Tembus 10.000 Hektar https://t.co/IfkQ8RNgGi",1
"BUMI KIAN PANAS?

Kalau korang selalu ikuti siaran berita dunia, mesti perasan kan setiap hari ada sahaja berlaku kebakaran hutan secara semulajadi,

Kelmarin dilaporkan di US, hari ini pula di China, dan ini disebabkan satu alasan sahaja, iaitu kepanasan yang melampau, https://t.co/AtNSkDoO3a",1
"Kebakaran Hutan Meluas di Barat Daya Prancis, 10.000 Hektare Terbakar https://t.co/mtrOdJYfJF",1
Kebakaran hutan meluas di wilayah Gironde Prancis capai 10.000 hektar terbakar https://t.co/qXt6e6PGdT,1
"BUMI KIAN PANAS?

Kalau korang selalu ikuti siaran berita dunia, mesti perasan kan setiap hari ada sahaja berlaku kebakaran hutan secara semulajadi,

Kelmarin dilaporkan di US, hari ini pula di China, dan ini disebabkan satu alasan sahaja, iaitu kepanasan yang melampau, https://t.co/AtNSkDoO3a",1
@beistboy Bisa jadi kebakaran hutan atau bakso🙏🏻😭,1
"Kebakaran hutan berlaku di Perancis dan Sepanyol apabila gelombang haba melanda Eropah - https://t.co/2cbwXTLwlD
PARIS/LISBON (Reuters) – Kebakaran hutan berlaku di barat daya Perancis",1
"BUMI KIAN PANAS?

Kalau korang selalu ikuti siaran berita dunia, mesti perasan kan setiap hari ada sahaja berlaku kebakaran hutan secara semulajadi,

Kelmarin dilaporkan di US, hari ini pula di China, dan ini disebabkan satu alasan sahaja, iaitu kepanasan yang melampau, https://t.co/AtNSkDoO3a",1
